ID,SITENO,DATE,LONGITUDE,LATITUDE,CL,TDS,GROUNDWATE,TEMPRETURE
378,SZ1,2009-01-05,113.7899000000,22.6907000000,9967.3821000000,17684.0030500000,-0.3500000000,26.3000000000
399,SZ1,2009-01-18,113.7899000000,22.6907000000,9383.4700000000,17904.9200000000,-0.5100000000,25.6000000000
420,SZ1,2009-02-01,113.7899000000,22.6907000000,9855.5280000000,17520.4416000000,-0.7550000000,25.1000000000
441,SZ1,2009-02-21,113.7899000000,22.6907000000,11148.8800000000,18596.0000000000,-1.0000000000,24.6000000000
462,SZ1,2009-03-01,113.7899000000,22.6907000000,10746.1641000000,18281.9190000000,-0.8500000000,25.2000000000
483,SZ1,2009-03-20,113.7899000000,22.6907000000,9922.0300000000,17250.9000000000,-0.7000000000,25.8000000000
504,SZ1,2009-04-15,113.7899000000,22.6907000000,10057.0000000000,19454.9000000000,-0.8200000000,24.8000000000
525,SZ1,2009-04-30,113.7899000000,22.6907000000,10107.6350000000,18090.0625000000,-0.7600000000,24.6500000000
546,SZ1,2009-05-15,113.7899000000,22.6907000000,10158.2700000000,16725.2250000000,-0.7000000000,24.5000000000
567,SZ1,2009-05-30,113.7899000000,22.6907000000,8902.8325471698,14884.1401345291,-0.4058295964,22.2400000000
588,SZ1,2009-06-15,113.7899000000,22.6907000000,9196.5800000000,16552.6800000000,-0.3700000000,24.6000000000
609,SZ1,2009-06-30,113.7899000000,22.6907000000,2383.9447115385,4032.4864864865,1.2230046948,22.1900000000
628,SZ1,2009-07-15,113.7899000000,22.6907000000,240.2100000000,450.5200000000,1.8600000000,24.5000000000
646,SZ1,2009-07-30,113.7899000000,22.6907000000,132.9804878049,274.8110859729,1.9336492891,22.0700000000
664,SZ1,2009-08-15,113.7899000000,22.6907000000,101.6700000000,254.7150000000,2.1000000000,24.2000000000
682,SZ1,2009-08-30,113.7899000000,22.6907000000,101.6700000000,309.6450000000,2.1000000000,24.2000000000
700,SZ1,2009-09-15,113.7899000000,22.6907000000,101.6700000000,309.6450000000,1.8800000000,24.5000000000
718,SZ1,2009-09-30,113.7899000000,22.6907000000,96.4858490566,250.2354260090,1.0200000000,24.4000000000
736,SZ1,2009-10-15,113.7899000000,22.6907000000,102.8800000000,248.3800000000,-0.5600000000,24.3000000000
754,SZ1,2009-10-30,113.7899000000,22.6907000000,100.5600000000,250.5600000000,0.8800000000,24.3000000000
772,SZ1,2009-11-15,113.7899000000,22.6907000000,103.1007443670,243.9770142899,0.8503940983,
240,SZ1,2009-11-30,113.7899000000,22.6907000000,95.7790150256,250.1466273448,0.8200000000,
436,SZ1,2009-12-15,113.7899000000,22.6907000000,90.7291299249,252.5511866130,0.7800000000,
492,SZ1,2009-12-30,113.7899000000,22.6907000000,103.5857726810,284.6666188363,0.6500000000,
10,SZ10,2008-03-05,114.2529500000,22.5943980000,56.6311048210,165.4226628492,-0.1629322541,
28,SZ10,2008-03-25,114.2529500000,22.5943980000,55.3762923621,145.0029901228,-0.1918751671,
46,SZ10,2008-04-10,114.2529500000,22.5943980000,57.8557443400,130.2767629699,-0.2296163125,
64,SZ10,2008-04-25,114.2529500000,22.5943980000,58.0642803257,127.5957980766,0.2168828763,
82,SZ10,2008-05-10,114.2529500000,22.5943980000,53.3829675734,118.2598134625,0.3942722521,
100,SZ10,2008-05-25,114.2529500000,22.5943980000,46.6036245728,117.9894254709,0.4795801576,
118,SZ10,2008-06-10,114.2529500000,22.5943980000,40.7393214318,123.0416848532,1.4171323622,
137,SZ10,2008-06-25,114.2529500000,22.5943980000,39.7951183673,120.2868875380,1.5784716941,25.2500000000
158,SZ10,2008-07-10,114.2529500000,22.5943980000,42.6200000000,44.5800000000,1.3970609855,25.6000000000
179,SZ10,2008-07-25,114.2529500000,22.5943980000,35.6000000000,54.5800000000,1.0886459344,25.4000000000
200,SZ10,2008-08-10,114.2529500000,22.5943980000,27.9700000000,88.5900000000,1.0400000000,25.3000000000
221,SZ10,2008-08-25,114.2529500000,22.5943980000,36.6864160000,117.8842080000,0.8450000000,25.3500000000
242,SZ10,2008-09-15,114.2529500000,22.5943980000,42.5808000000,138.1104000000,0.8450000000,25.3500000000
263,SZ10,2008-09-25,114.2529500000,22.5943980000,60.7400000000,199.1400000000,0.6500000000,25.4000000000
284,SZ10,2008-10-15,114.2529500000,22.5943980000,94.4707500000,316.1466000000,0.9700000000,25.3500000000
305,SZ10,2008-11-15,114.2529500000,22.5943980000,95.8219000000,426.8276500000,0.8200000000,25.2500000000
326,SZ10,2008-11-27,114.2529500000,22.5943980000,45.7100000000,343.6300000000,0.3500000000,25.2000000000
347,SZ10,2008-12-15,114.2529500000,22.5943980000,259.7417500000,692.7497500000,0.3100000000,24.3500000000
368,SZ10,2008-12-23,114.2529500000,22.5943980000,489.8400000000,1084.7200000000,0.5800000000,23.5000000000
389,SZ10,2009-01-05,114.2529500000,22.5943980000,268.4334500000,698.2936500000,0.5850000000,24.1000000000
410,SZ10,2009-01-18,114.2529500000,22.5943980000,31.3900000000,271.1900000000,0.5900000000,24.7000000000
431,SZ10,2009-02-01,114.2529500000,22.5943980000,33.9312000000,269.6064000000,0.5750000000,23.9500000000
452,SZ10,2009-02-21,114.2529500000,22.5943980000,39.3000000000,290.4900000000,0.5600000000,23.2000000000
473,SZ10,2009-03-01,114.2529500000,22.5943980000,41.9118000000,339.5631000000,0.5550000000,23.9500000000
494,SZ10,2009-03-20,114.2529500000,22.5943980000,42.8800000000,375.3200000000,0.5500000000,24.7000000000
515,SZ10,2009-04-15,114.2529500000,22.5943980000,47.2700000000,315.8900000000,0.5900000000,24.3000000000
536,SZ10,2009-04-30,114.2529500000,22.5943980000,44.2200000000,340.6725000000,0.5700000000,24.3000000000
557,SZ10,2009-05-15,114.2529500000,22.5943980000,41.1700000000,365.4550000000,0.5500000000,24.3000000000
578,SZ10,2009-05-30,114.2529500000,22.5943980000,36.4127358491,287.5751121076,0.7085201794,22.1300000000
599,SZ10,2009-06-15,114.2529500000,22.5943980000,37.7400000000,305.7100000000,0.8700000000,24.5000000000
619,SZ10,2009-06-30,114.2529500000,22.5943980000,41.2427884615,351.9954954955,0.7746478873,22.0400000000
637,SZ10,2009-07-15,114.2529500000,22.5943980000,44.6100000000,419.0500000000,0.8100000000,24.3000000000
655,SZ10,2009-07-30,114.2529500000,22.5943980000,30.7170731707,341.9513574661,0.7109004739,22.3000000000
673,SZ10,2009-08-15,114.2529500000,22.5943980000,27.1100000000,364.1250000000,0.7300000000,24.6000000000
691,SZ10,2009-08-30,114.2529500000,22.5943980000,33.8900000000,336.9250000000,0.7300000000,24.6000000000
709,SZ10,2009-09-15,114.2529500000,22.5943980000,33.8900000000,336.9250000000,0.7600000000,23.9000000000
727,SZ10,2009-09-30,114.2529500000,22.5943980000,38.3632075472,441.9506726457,0.8800000000,23.9000000000
745,SZ10,2009-10-15,114.2529500000,22.5943980000,47.4400000000,648.6250000000,0.9500000000,24.0000000000
763,SZ10,2009-10-30,114.2529500000,22.5943980000,49.6600000000,665.2000000000,1.1500000000,24.0000000000
177,SZ10,2009-11-15,114.2529500000,22.5943980000,53.6344589413,650.9732732123,1.1934005180,
303,SZ10,2009-11-30,114.2529500000,22.5943980000,40.9160802595,424.9061627953,0.9120527469,
478,SZ10,2009-12-15,114.2529500000,22.5943980000,50.3637216801,393.2041016676,0.8350287954,
555,SZ10,2009-12-30,114.2529500000,22.5943980000,55.6293648901,417.1115568650,0.7700000000,
11,SZ11,2008-03-05,114.2671900000,22.5799300000,231.0070509177,711.4934280527,-1.2948378661,
29,SZ11,2008-03-25,114.2671900000,22.5799300000,250.0079098338,659.4137199243,-1.5146379409,
47,SZ11,2008-04-10,114.2671900000,22.5799300000,267.0820899489,612.4777054972,-1.5440310912,
65,SZ11,2008-04-25,114.2671900000,22.5799300000,276.0894760053,628.9815167344,-1.0901683560,
83,SZ11,2008-05-10,114.2671900000,22.5799300000,290.6615060813,658.6324341499,-1.0183747996,
101,SZ11,2008-05-25,114.2671900000,22.5799300000,302.1324375162,673.7977541788,-0.9542075668,
119,SZ11,2008-06-10,114.2671900000,22.5799300000,314.8296500667,705.1198433997,-0.1980999912,
138,SZ11,2008-06-25,114.2671900000,22.5799300000,327.2886857143,732.3288895643,-0.1407727609,27.0800000000
159,SZ11,2008-07-10,114.2671900000,22.5799300000,280.1200000000,650.1000000000,-0.2133302941,26.9000000000
180,SZ11,2008-07-25,114.2671900000,22.5799300000,250.4000000000,620.5800000000,-0.2374222600,27.6000000000
201,SZ11,2008-08-10,114.2671900000,22.5799300000,261.6200000000,656.9600000000,-0.2750000000,27.5000000000
222,SZ11,2008-08-25,114.2671900000,22.5799300000,318.4301120000,721.9696640000,-0.1150000000,27.2000000000
243,SZ11,2008-09-15,114.2671900000,22.5799300000,350.7456000000,731.4432000000,-0.1150000000,27.2000000000
264,SZ11,2008-09-25,114.2671900000,22.5799300000,469.1000000000,866.8800000000,0.0450000000,26.9000000000
285,SZ11,2008-10-15,114.2671900000,22.5799300000,627.3481500000,1236.4753500000,-0.0225000000,26.6500000000
306,SZ11,2008-11-15,114.2671900000,22.5799300000,810.8455500000,1857.6270500000,-0.1200000000,26.0000000000
327,SZ11,2008-11-27,114.2671900000,22.5799300000,689.5200000000,1777.4400000000,-0.1500000000,25.6000000000
348,SZ11,2008-12-15,114.2671900000,22.5799300000,739.5086000000,1840.9969500000,-0.2200000000,25.2000000000
369,SZ11,2008-12-23,114.2671900000,22.5799300000,835.2400000000,2018.4300000000,-0.2900000000,24.8000000000
390,SZ11,2009-01-05,114.2671900000,22.5799300000,882.9366000000,2097.7340500000,-0.2700000000,24.3500000000
411,SZ11,2009-01-18,114.2671900000,22.5799300000,879.2000000000,2054.8400000000,-0.2500000000,23.9000000000
432,SZ11,2009-02-01,114.2671900000,22.5799300000,855.2880000000,1982.3856000000,-0.1800000000,23.8500000000
453,SZ11,2009-02-21,114.2671900000,22.5799300000,902.6500000000,2075.1300000000,-0.1100000000,23.8000000000
474,SZ11,2009-03-01,114.2671900000,22.5799300000,818.5449000000,1889.4225000000,-0.0800000000,23.8000000000
495,SZ11,2009-03-20,114.2671900000,22.5799300000,702.3400000000,1629.6200000000,-0.0500000000,23.8000000000
516,SZ11,2009-04-15,114.2671900000,22.5799300000,631.5000000000,1453.5400000000,0.1750000000,23.4000000000
537,SZ11,2009-04-30,114.2671900000,22.5799300000,435.8550000000,978.3075000000,-0.0550000000,23.5000000000
558,SZ11,2009-05-15,114.2671900000,22.5799300000,240.2100000000,503.0750000000,-0.2850000000,23.6000000000
579,SZ11,2009-05-30,114.2671900000,22.5799300000,243.6084905660,482.1065022422,-0.1547085202,21.7000000000
600,SZ11,2009-06-15,114.2671900000,22.5799300000,264.2300000000,549.0400000000,-0.1350000000,24.1000000000
620,SZ11,2009-06-30,114.2671900000,22.5799300000,263.9615384615,554.7454954955,0.0633802817,21.4700000000
638,SZ11,2009-07-15,114.2671900000,22.5799300000,277.9500000000,638.0100000000,0.1350000000,23.6000000000
656,SZ11,2009-07-30,114.2671900000,22.5799300000,886.1195121951,1275.7262443439,-0.0142180095,21.6600000000
674,SZ11,2009-08-15,114.2671900000,22.5799300000,1118.3800000000,1666.9000000000,-0.0600000000,23.9000000000
692,SZ11,2009-08-30,114.2671900000,22.5799300000,437.1800000000,672.0400000000,-0.0650000000,23.9000000000
710,SZ11,2009-09-15,114.2671900000,22.5799300000,437.1800000000,672.0400000000,-1.0500000000,23.5000000000
728,SZ11,2009-09-30,114.2671900000,22.5799300000,458.7924528302,728.7264573991,-0.6500000000,23.5000000000
746,SZ11,2009-10-15,114.2671900000,22.5799300000,535.4600000000,953.0200000000,-0.1150000000,23.4000000000
764,SZ11,2009-10-30,114.2671900000,22.5799300000,510.3600000000,984.2300000000,0.2100000000,23.4000000000
184,SZ11,2009-11-15,114.2671900000,22.5799300000,484.7664789568,946.1531695214,0.2882646352,
310,SZ11,2009-11-30,114.2671900000,22.5799300000,430.3745819453,702.8029757351,-0.3835706843,
394,SZ11,2009-12-15,114.2671900000,22.5799300000,405.2681976011,685.5250834589,-0.4544802119,
562,SZ11,2009-12-30,114.2671900000,22.5799300000,332.4246418313,677.2599377149,-0.5633466946,
12,SZ12,2008-03-05,114.3004400000,22.5999600000,36.3462896110,185.3235319661,1.6701744923,
30,SZ12,2008-03-25,114.3004400000,22.5999600000,33.9948771252,171.0466189355,1.6233878109,
48,SZ12,2008-04-10,114.3004400000,22.5999600000,30.7511510131,158.5463957040,1.6060756293,
66,SZ12,2008-04-25,114.3004400000,22.5999600000,28.1508554033,163.1486328193,2.0450944826,
84,SZ12,2008-05-10,114.3004400000,22.5999600000,28.3474412533,169.8472003159,2.1245773119,
102,SZ12,2008-05-25,114.3004400000,22.5999600000,25.6388078937,177.9196982094,2.3324587980,
120,SZ12,2008-06-10,114.3004400000,22.5999600000,21.1494157703,181.0096676847,3.4436858596,
139,SZ12,2008-06-25,114.3004400000,22.5999600000,16.5901714286,180.0990050659,3.5830622935,26.7300000000
160,SZ12,2008-07-10,114.3004400000,22.5999600000,19.2000000000,285.3600000000,3.2942618229,27.1000000000
181,SZ12,2008-07-25,114.3004400000,22.5999600000,11.0000000000,265.3600000000,2.9136596393,28.5000000000
202,SZ12,2008-08-10,114.3004400000,22.5999600000,10.4600000000,226.4300000000,2.8720000000,27.2000000000
223,SZ12,2008-08-25,114.3004400000,22.5999600000,13.9455680000,176.9187680000,2.7520000000,26.8500000000
244,SZ12,2008-09-15,114.3004400000,22.5999600000,16.3584000000,113.7984000000,2.7520000000,26.8500000000
265,SZ12,2008-09-25,114.3004400000,22.5999600000,23.6200000000,10.6500000000,2.6320000000,26.5000000000
286,SZ12,2008-10-15,114.3004400000,22.5999600000,27.3586500000,27.7051500000,2.5820000000,26.5000000000
307,SZ12,2008-11-15,114.3004400000,22.5999600000,32.5801000000,174.3509500000,2.4770000000,26.3250000000
328,SZ12,2008-11-27,114.3004400000,22.5999600000,28.1300000000,274.5900000000,2.4220000000,26.1500000000
349,SZ12,2008-12-15,114.3004400000,22.5999600000,33.8578500000,278.5791500000,2.3070000000,24.9750000000
370,SZ12,2008-12-23,114.3004400000,22.5999600000,41.6800000000,299.8000000000,2.1920000000,23.8000000000
391,SZ12,2009-01-05,114.3004400000,22.5999600000,37.6310500000,306.4507500000,2.1110000000,24.7000000000
412,SZ12,2009-01-18,114.3004400000,22.5999600000,31.3900000000,295.2500000000,2.0300000000,25.6000000000
433,SZ12,2009-02-01,114.3004400000,22.5999600000,32.2176000000,289.8576000000,1.7660000000,24.2500000000
454,SZ12,2009-02-21,114.3004400000,22.5999600000,35.7300000000,308.6200000000,1.5020000000,22.9000000000
475,SZ12,2009-03-01,114.3004400000,22.5999600000,34.6239000000,323.7582000000,1.5670000000,23.4500000000
496,SZ12,2009-03-20,114.3004400000,22.5999600000,32.1600000000,326.2000000000,1.6320000000,24.0000000000
517,SZ12,2009-04-15,114.3004400000,22.5999600000,43.8700000000,331.3900000000,2.2720000000,23.5000000000
538,SZ12,2009-04-30,114.3004400000,22.5999600000,35.4300000000,381.5300000000,2.3570000000,23.4500000000
559,SZ12,2009-05-15,114.3004400000,22.5999600000,26.9900000000,431.6700000000,2.4420000000,23.4000000000
580,SZ12,2009-05-30,114.3004400000,22.5999600000,18.5000000000,208.6614349776,3.1654708520,21.9900000000
601,SZ12,2009-06-15,114.3004400000,22.5999600000,17.1500000000,166.3200000000,3.8920000000,24.6000000000
621,SZ12,2009-06-30,114.3004400000,22.5999600000,18.9639423077,170.9695945946,2.9713615023,21.4500000000
639,SZ12,2009-07-15,114.3004400000,22.5999600000,20.5800000000,197.5950000000,2.9220000000,23.4000000000
657,SZ12,2009-07-30,114.3004400000,22.5999600000,17.4146341463,257.3110859729,2.2862559242,21.4800000000
675,SZ12,2009-08-15,114.3004400000,22.5999600000,16.9400000000,313.2400000000,2.2420000000,23.7000000000
693,SZ12,2009-08-30,114.3004400000,22.5999600000,20.3300000000,213.2100000000,2.2420000000,23.7000000000
711,SZ12,2009-09-15,114.3004400000,22.5999600000,20.3300000000,213.2100000000,2.9620000000,23.8000000000
729,SZ12,2009-09-30,114.3004400000,22.5999600000,19.1792452830,322.1973094170,2.2500000000,23.8000000000
747,SZ12,2009-10-15,114.3004400000,22.5999600000,20.3300000000,505.2900000000,2.1920000000,23.7000000000
765,SZ12,2009-10-30,114.3004400000,22.5999600000,24.3600000000,510.2500000000,2.0100000000,23.7000000000
191,SZ12,2009-11-15,114.3004400000,22.5999600000,25.0143889686,503.3701048335,1.8959698177,
317,SZ12,2009-11-30,114.3004400000,22.5999600000,21.6695093096,318.0631601970,1.8564188551,
457,SZ12,2009-12-15,114.3004400000,22.5999600000,32.2929992862,336.7356280548,1.8300000000,
569,SZ12,2009-12-30,114.3004400000,22.5999600000,28.4932868346,321.0232391422,1.7600000000,
13,SZ13,2008-03-05,114.3016900000,22.5987600000,49.6144699912,138.0031514450,0.9917647295,
31,SZ13,2008-03-25,114.3016900000,22.5987600000,52.4589929154,121.8891046142,0.9552082181,
49,SZ13,2008-04-10,114.3016900000,22.5987600000,51.1828625741,112.1966248682,0.9352277613,
67,SZ13,2008-04-25,114.3016900000,22.5987600000,52.3657668706,108.5923480652,1.3811096344,
85,SZ13,2008-05-10,114.3016900000,22.5987600000,53.3885097857,103.6889004736,1.4490602357,
103,SZ13,2008-05-25,114.3016900000,22.5987600000,46.5776664572,102.7189158100,1.5213626279,
121,SZ13,2008-06-10,114.3016900000,22.5987600000,48.9147721100,98.5470628007,2.2794518529,
140,SZ13,2008-06-25,114.3016900000,22.5987600000,41.9464326531,99.8978297872,2.3408927180,25.8900000000
161,SZ13,2008-07-10,114.3016900000,22.5987600000,45.8000000000,98.7800000000,2.2654846824,27.5000000000
182,SZ13,2008-07-25,114.3016900000,22.5987600000,51.2000000000,88.6900000000,2.2453354661,27.6000000000
203,SZ13,2008-08-10,114.3016900000,22.5987600000,38.3700000000,97.2900000000,2.2000000000,26.2000000000
224,SZ13,2008-08-25,114.3016900000,22.5987600000,38.7947040000,97.7602080000,2.0600000000,26.0000000000
245,SZ13,2008-09-15,114.3016900000,22.5987600000,36.2352000000,90.7104000000,2.0600000000,26.0000000000
266,SZ13,2008-09-25,114.3016900000,22.5987600000,37.1200000000,91.6900000000,1.9200000000,25.8000000000
287,SZ13,2008-10-15,114.3016900000,22.5987600000,35.7786000000,78.8089500000,1.9200000000,26.0000000000
308,SZ13,2008-11-15,114.3016900000,22.5987600000,40.2428000000,166.7591000000,1.9650000000,25.9750000000
329,SZ13,2008-11-27,114.3016900000,22.5987600000,38.6800000000,238.4600000000,2.0100000000,25.7500000000
350,SZ13,2008-12-15,114.3016900000,22.5987600000,33.9209000000,228.4786500000,1.8200000000,24.7250000000
371,SZ13,2008-12-23,114.3016900000,22.5987600000,31.2600000000,232.6300000000,1.6300000000,23.7000000000
392,SZ13,2009-01-05,114.3016900000,22.5987600000,32.2647500000,231.6418500000,1.6850000000,24.0500000000
413,SZ13,2009-01-18,114.3016900000,22.5987600000,31.3900000000,217.1600000000,1.7400000000,24.4000000000
434,SZ13,2009-02-01,114.3016900000,22.5987600000,28.7856000000,221.2224000000,1.5250000000,24.1500000000
455,SZ13,2009-02-21,114.3016900000,22.5987600000,28.5800000000,243.7200000000,1.3100000000,23.9000000000
476,SZ13,2009-03-01,114.3016900000,22.5987600000,34.6239000000,258.2181000000,1.4300000000,24.1000000000
497,SZ13,2009-03-20,114.3016900000,22.5987600000,39.3100000000,262.5900000000,1.5500000000,24.3000000000
518,SZ13,2009-04-15,114.3016900000,22.5987600000,30.3700000000,190.1200000000,1.7700000000,24.0000000000
539,SZ13,2009-04-30,114.3016900000,22.5987600000,43.8700000000,240.1850000000,1.8700000000,24.1500000000
560,SZ13,2009-05-15,114.3016900000,22.5987600000,57.3700000000,290.2500000000,1.9700000000,24.3000000000
581,SZ13,2009-05-30,114.3016900000,22.5987600000,37.8066037736,239.5695067265,2.0762331839,22.3300000000
602,SZ13,2009-06-15,114.3016900000,22.5987600000,34.3100000000,259.4100000000,2.4300000000,24.8000000000
622,SZ13,2009-06-30,114.3016900000,22.5987600000,32.9903846154,207.3006756757,1.9014084507,22.1000000000
640,SZ13,2009-07-15,114.3016900000,22.5987600000,34.3100000000,220.3350000000,1.8900000000,24.3000000000
658,SZ13,2009-07-30,114.3016900000,22.5987600000,30.6853658537,190.5882352941,1.5781990521,21.8900000000
676,SZ13,2009-08-15,114.3016900000,22.5987600000,30.5000000000,207.3550000000,1.5900000000,24.0000000000
694,SZ13,2009-08-30,114.3016900000,22.5987600000,37.2700000000,189.9300000000,1.5900000000,24.0000000000
712,SZ13,2009-09-15,114.3016900000,22.5987600000,37.2700000000,189.9300000000,1.7000000000,24.3000000000
730,SZ13,2009-09-30,114.3016900000,22.5987600000,33.5660377358,190.5067264574,1.6800000000,24.3000000000
748,SZ13,2009-10-15,114.3016900000,22.5987600000,33.8900000000,234.9000000000,1.6600000000,24.1000000000
766,SZ13,2009-10-30,114.3016900000,22.5987600000,38.2500000000,248.3600000000,1.7200000000,24.1000000000
198,SZ13,2009-11-15,114.3016900000,22.5987600000,43.1409498034,242.4844325393,1.7820626344,
324,SZ13,2009-11-30,114.3016900000,22.5987600000,34.1947741994,191.3403645128,1.6648074909,
401,SZ13,2009-12-15,114.3016900000,22.5987600000,33.7091110053,188.7274189019,1.5197025805,
576,SZ13,2009-12-30,114.3016900000,22.5987600000,40.6620213553,211.1693426831,1.4326626484,
14,SZ14,2008-03-05,114.4172900000,22.6245500000,50.1803468156,97.0798706494,16.0350299959,
32,SZ14,2008-03-25,114.4172900000,22.6245500000,53.3339779886,80.4749816887,16.0071007859,
50,SZ14,2008-04-10,114.4172900000,22.6245500000,54.3468518244,75.4280079149,15.9708928436,
68,SZ14,2008-04-25,114.4172900000,22.6245500000,57.1496862083,68.6600932130,16.4342858263,
86,SZ14,2008-05-10,114.4172900000,22.6245500000,60.3730156133,58.4438735878,16.5079125382,
104,SZ14,2008-05-25,114.4172900000,22.6245500000,55.4651037874,51.5448080512,16.5691324896,
122,SZ14,2008-06-10,114.4172900000,22.6245500000,49.2688122425,50.5320824493,17.7310000000,
141,SZ14,2008-06-25,114.4172900000,22.6245500000,50.8583836735,42.7138459980,17.9800000000,25.5000000000
162,SZ14,2008-07-10,114.4172900000,22.6245500000,48.2000000000,41.2300000000,17.3186166135,27.5000000000
183,SZ14,2008-07-25,114.4172900000,22.6245500000,38.7300000000,48.5600000000,17.2867893540,27.5000000000
204,SZ14,2008-08-10,114.4172900000,22.6245500000,45.3400000000,40.2400000000,17.2490000000,25.7000000000
225,SZ14,2008-08-25,114.4172900000,22.6245500000,47.5284160000,41.3196160000,17.2590000000,25.6000000000
246,SZ14,2008-09-15,114.4172900000,22.6245500000,46.0608000000,39.2208000000,17.2590000000,25.6000000000
267,SZ14,2008-09-25,114.4172900000,22.6245500000,50.6200000000,41.4700000000,17.2690000000,25.5000000000
288,SZ14,2008-10-15,114.4172900000,22.6245500000,47.6833500000,40.6098000000,17.2540000000,25.5000000000
309,SZ14,2008-11-15,114.4172900000,22.6245500000,54.3365000000,200.0477000000,17.2540000000,25.6750000000
330,SZ14,2008-11-27,114.4172900000,22.6245500000,53.9900000000,326.4900000000,17.2690000000,25.8500000000
351,SZ14,2008-12-15,114.4172900000,22.6245500000,51.4585000000,324.9306000000,17.1990000000,25.6250000000
